Source,Date,Title,Content,Name,Rating,Version,Device
"BBC iPlayer",2017-05-02,"It works and updates","It's perfect even works without a TV licence","Billy EP3",5,4.25.3,
"BBC iPlayer",2017-04-30,"Useless update","I don't understand why developers bother with upgrades that make the app worse than it was before.
This is the case with the latest bbc iplayer upgrade. Downloading crashes or gets stuck permanently. And to top it all, the upgrade deleted all my stored downloads, which I can now not replace.
Not happy...",SwissTony9911,2,4.25.3,
"BBC iPlayer",2017-04-29,"Fix Airplay","Airplay feature is problematic. Every time I Multitask while air-playing I get an error message:

""Content is not currently available on this device""

Fix this ASAP",Funkyjui1ce,2,4.25.3,
"BBC iPlayer",2017-04-28,"BBC i player","Please introduce an option to play the sound when we open the app. I love to hear it when I play it through my JBL speakers.",Newyork1_dr,5,4.25.3,
"BBC iPlayer",2017-04-27,"Dear Beeb, fixed, thank you.","Another update, another issue has been a problem with this app. Not always admittedly. Currently OK, so this review updated.",Seebetterbyeatingcarrots,4,4.25.3,
"BBC iPlayer",2017-04-27,"App won't open","I love the iPlayer app and use it all the time, but this update is the worst ever! Lost all my downloads, app just won't open 90% of the time, when it does open it won't play or download anything... it's an absolute nightmare! Sort it out, please, BBC!",Lemonina,1,4.25.3,
"BBC iPlayer",2017-04-27,"Downloads not working","I love this app and use it all the time but at the moment, downloads keep failing. Not letting me download programmes",Ruthiefw,4,4.25.3,
"BBC iPlayer",2017-04-26,"Dissatisfied mackem","Love BBC programs but when I want to watch something it tells me it cannot be displayed outside UK. I'm in Tyne Wear!!!!! What on earth????","mackem over 50 ish",1,4.25.3,
"BBC iPlayer",2017-04-25,"Terrible at the moment","Totally unable to download programmes so can only use this app when connected to wifi so no more being able to watch things when commuting. Very disappointing.",dimples4Jesus,1,4.25.3,
"BBC iPlayer",2017-04-25,"Bugs, bugs, BUGS!!!!!!","Every time I load an update I find MORE problems,  NOT fewer.  The latest being that 1) after watching for about an hour it crashes, and cannot be brought up again for at least another hour - which means that the programmes which for 'legal reasons cannot be replayed on iplayer' can NEVER be watched. 1) frequently content won't load AT ALL...

Looking at other reviews it seems I'm not alone. 
In fact seeing the sheer number of negative comments it appears that very little gets done about any reported problems. 
Considering the fantastic overall quality of BBC programmes, you do your programme makers serious disservice by allowing so many reported faults to go unchecked. It makes me very sad to know that your star ratings just go on being pathetic over the four years I've been able to use this app, in particular where your competitors consistently do so much better. 
COME ON Dear Auntie, your wonderful programmes deserve SO much better. 
(Please note the lack of explanation marks. I hope this indicates how serious I feel.)
Anyone else feel similarly sad?",Disappointed&Frustrated,1,4.25.3,
"BBC iPlayer",2017-04-24,"Does what it says","You can download and watch. Not sure what everyone's problem is but it works for me",Wanderingpom,5,4.25.3,
"BBC iPlayer",2017-04-23,"Update constantly crashes - please fix it!","Title says it all. Yet another update that makes things worse. How about fixing the bugs that mean constant crashes on my iPad and iPhone? You have had enough feedback to know this isn't an isolated set of issues but a common theme. This is now a paid-for app in the Licence Fee which is a compulsory tax on TV service consumption so expectations to sort this out quickly by the BBC are thus greater. Please get on with it.","Unimpressed in Oxon",1,4.25.3,
"BBC iPlayer",2017-04-23,"Great but.....","It's a great app I can watch the shows but for some reason recently I have struggled downloading programmes. I don't know why!",emostanleo,4,4.25.3,
"BBC iPlayer",2017-04-22,"Crap. Avoid.","Worked fine but then you forced us to update, which crashes and bricked one of my devices. Reaction from the Beeb was *shrugs shoulders*","Stevie Ceeeeee",1,4.25.3,
"BBC iPlayer",2017-04-21,"Amazing if frustrating","I can't really complain. It's well worth the license fee, and there aren't any adverts.

My latest complaint is that the progress bar, when I'm downloading a programme to enjoy later offline, doesn't update. So it looks like it isn't downloading. I've worked out that, by quickly toggling the Download Programmes toggle off then on again, I can force it to update and see the download is progressing after all. But it's really annoying that this bug has slipped through – it happens every time I download an episode.",Jøsué,3,4.25.3,
"BBC iPlayer",2017-04-21,"So entertaining!","I love this app it's so entertaining you have to download this amazing app!",MaxiT(565),5,4.25.3,
"BBC iPlayer",2017-04-21,Pathetic!,"Refuses to download or when it does it often freezes. Unusable piece of junk, frankly.",Marco515,1,4.25.3,
"BBC iPlayer",2017-04-21,"The update has made it worse!","When trying to view downloaded content off line, it freezes or if it does manage to start playing, quits after 2 minutes. I've tried reinstalling several times, still no joy. Thus update should have been thoroughly tested before release!","Mr Doodley123",1,4.25.3,
"BBC iPlayer",2017-04-21,"Amazing app-don't know why people are complaining","So after seeing this had a 2* rating I decided to look at the reviews. I seriously don't know where the 1 or 2 * reviews come from. I have an iPhone 5 and iPad mini along with an iPhone 6S and they all work perfectly fine. I'm on the latest OS with the latest update and can't find anything to fault. An amazing app that allows you to watch all your favourite TV programs. Seriusouky recommended.",SoldierStone,5,4.25.3,
"BBC iPlayer",2017-04-20,"Refuses to Download","The latest version refuses to download any programmes ... most frustrating 😔",Tibra60,1,4.25.3,
"BBC iPlayer",2017-04-20,Crashing,"I like my TV, and I'm a busy man. So when I miss one of my shows I want to watch it later in good quality and without glitches and freezing. However, freezing, pausing and crashing seems to a blinking common occurance FFS",Sanhooper3859,1,4.25.3,
"BBC iPlayer",2017-04-20,"Downloads crashing","Downloads failing at 2%",thegreenwizard2000,1,4.25.3,
"BBC iPlayer",2017-04-20,"What have you done!!!!!!","Worked perfectly on my iPhone for as long as I can remember.Then some clown ""updates"" it to make it BETTER.All you have done it stop it working at all.I get the same Unknown error message that a lot of others are getting.Please get it sorted .",Lillybarkingbakery,1,4.25.3,
"BBC iPlayer",2017-04-20,"So annoying","It keeps on saying unknown error!!!!!!!!!",Hhgggggfdsdffc,1,4.25.3,
"BBC iPlayer",2017-04-20,"Freezing and crashing","Latest update on iOS 10.3.1 crashes and freezes. 
Disappointing, this used to be a great app.",bdav1,1,4.25.3,
"BBC iPlayer",2017-04-19,Rubbish,"What use is this pointless application if you cannot watch anything outside of the UK? Pointless and ridiculous BBC (Biased Broadcasting Corporation). Bunch of Pedics!",Ma11y,1,4.25.3,
"BBC iPlayer",2017-04-19,"Looks good at first but fatal problems","Yet Another Bad Update. This difficult to use app remains an embarrassment for the BBC as the numerous instabilities and failures continue - not leastly the fact that it ceases up if you have to pause it to use another application.  Most naffly though, if the signal is weak it will fail to give you the option to watch your downloads whilst it struggles to connect, thereby negating the very point of downloading programmes in the first place. This is the worst catch up app out there and it never improves.",FairComment,1,4.25.3,
"BBC iPlayer",2017-04-18,Amazing,"I love this so much you have to download it.....

You can also download at home to watch outside if you don't have Internet","Be me xoxo",5,4.25.3,
"BBC iPlayer",2017-04-18,"Poor HDMI to TV picture","Works fine with an iPad Mini 4 and official Apple AV (HDMI) adaptor to the TV but using the same adaptor with an iPhone 7 the image doesn't fill the screen and is of low quality despite solid 40 meg broadband. Even tried downloading TV shows in 'high quality' but it makes no difference. Definitely a bug that didn't exist in the past.",Stephen1701,2,4.25.3,
"BBC iPlayer",2017-04-18,"Can't download anything","Unable to download anything. Keeps saying download failed. Only allows streaming which is no good unless I'm connected to my broadband. Useless if travelling abroad on holiday or on tube. What am I paying my license fee for?!",Minkyrox,1,4.25.3,
"BBC iPlayer",2017-04-17,"No longer displays live channels.","After latest update the channel list no longer works. When you select channels from the menu the list does not fill with channels and programmes. This needs fixing fast !.","AB n.lincs",1,4.25.3,
