Source,Date,Title,Content,Name,Rating,Version,Device
"BBC iPlayer",2017-05-03,,"Just purchased some Bluetooth headphones and iPlayer is the only app where the picture is out of sync with the audio. Casting also appears to have broken a couple of updates ago. The programme shows on the TV but doesn't play.","Christian Westcott",2,,
"BBC iPlayer",2017-05-03,,"Can't add programmes get message Uh oh . Something's up","derby DNA",2,,
"BBC iPlayer",2017-05-03,,"App gets worse and worse. It seems to be beyond the capabilities of the developers to provide an app that actually works properly. This is not the quality one would expect from the BBC.","Geoff Henderson",1,,
"BBC iPlayer",2017-05-02,,"The BBC apps are some of the best designed apps available, this and the radio app are the design thinking to take note of.. Quite simply, built with the user in mind.","Symon Palmer",5,,
"BBC iPlayer",2017-05-02,,"Had problems downloading so re installed app but now it wont store longer than a couple of days. Rubbish service!","Simon Warwick",1,,
"BBC iPlayer",2017-05-02,,"Seems nice and stable on my s7. Don't like the flashy start up effect and noise.","Keith Brown",4,,
"BBC iPlayer",2017-05-02,,"Download still not working on Moto G4.","Joe Barrett",1,,
"BBC iPlayer",2017-05-02,,"I think that it is a good an but cold still be improved like by having all the newest things",,5,,
"BBC iPlayer",2017-05-02,,"So disappointed that after numerous updates the BBC have still not fixed the crucial feature they broke many updates ago. Downloads used to work on the HTC one m9 but about a year ago the BBC broke this in an update. All they need to do is to look at the code they changed. Also doesn't work on Kindle fire and so many other devices. Instead of fixing this functionality everyone wants the developers choose to put their resources into programming pointless startup effects.  The glacial speed with which the developers are rolling out fixes to one phone model or another is slower than new phones are being produced for which the app doesn't work. In the internet age we should get a reduction in our licence fees for lack of internet functionality.","Steve Locks",1,,
"BBC iPlayer",2017-05-02,,"I believe this app is exceptional i missed the next step no worrys i will just watch it on bbc iPlayer thats how helpful it is",,5,,
"BBC iPlayer",2017-05-02,,Sickkkk,"GUNT5 HUSSSAIN",5,,
"BBC iPlayer",2017-05-02,,"Lots of my downloaded shows wont stream on my LG G5. It says Casting and has the chrome cast icon over it but I'm not on wifi and I don't want to cast. It doesn't get any further than that... How can I fix this? Thanks","Si Cliff",3,,
"BBC iPlayer",2017-05-02,,"After trying unsuccessfully to download a programme on android phone, I was advised via BBC live chat to mess about by deleting the app, turning off WiFi, turning off phone. Turning phone back on, turning WiFi back on, reinstalling iPlayer, installing BBC media player. Downloaded 100%, then a message to say download failed.  Come on BBC, sort it out. We pay enough for the licence fee. Just wasted an hour of my life trying to sort this out ffs.","Kay Rogers",1,,
"BBC iPlayer",2017-05-02,"The best","So...baisicly this is one of the best apps like i like to watch cbbc and everytime the tv is oquipied where do i go on..........THIS OFCOURCE sometimes my show is allready playing so it showa what pkaying kive on tv so i press that!SOOOOO.... COOL😀😀😀😀😀😀😀😀😀😀","60 shades of awesome",5,,
"BBC iPlayer",2017-05-02,,"It helped catch up with all my fav shows","epic gamer",5,,
"BBC iPlayer",2017-05-02,,"Yet another update and still can't download on a Moto G4. Pointless because the Devs aren't listening.",Lawrie,1,,
"BBC iPlayer",2017-05-02,,"Cannot download anything now. Constantly get &quot;Download failed&quot;. Used to be good and I liked it a lot,  but not any more.","Peter Simmons",1,,
"BBC iPlayer",2017-05-01,,"Love this app","Hannah Stogdale",5,,
"BBC iPlayer",2017-05-01,,"Amazing thing don't even use my TV any more","Player gaming Ethan",5,,
"BBC iPlayer",2017-05-01,,"Brilliant thanks","Krisztina Araczki",5,,
"BBC iPlayer",2017-05-01,,"Click play and it says casting. WiFi isn't even on.","Mark Milan",3,,
"BBC iPlayer",2017-05-01,,"Well done BBC lovely app doesn't always load program though great app","Joshua Saunders",5,,
"BBC iPlayer",2017-05-01,,"Add smart TV connect","Brad Thompson",5,,
"BBC iPlayer",2017-05-01,,"Best thing ever I had to get","Naj Aly",5,,
"BBC iPlayer",2017-05-01,,"Good Way To Catch Up On Missed Shows 💖","Emily Morrow",5,,
"BBC iPlayer",2017-04-30,,"Really good for watching episodes of doctor who","Alex Wetton",5,,
"BBC iPlayer",2017-04-30,,Amazing,"Jacob Bishop",5,,
"BBC iPlayer",2017-04-30,,Best,"freestyle football James",5,,
"BBC iPlayer",2017-04-30,,"It does not even open up. It's just a black screen. It crashes constantly. What have you done to this once good app","lion 85",1,,
"BBC iPlayer",2017-04-30,,"I know that on Apple devices this app works really well,  but since the knew update it won't open on my Samsung phone. Please help me.  Does anyone know what I could've done wrong?","Louise Vr",4,,
"BBC iPlayer",2017-04-30,,"Everything is awesome","Realist Omar",5,,
"BBC iPlayer",2017-04-30,,"It good because u can watch things you have missed","shanel wheeler",5,,
