Source,Date,Title,Content,Name,Rating,Version,Device
Netflix,2017-05-03,"Start and stop","After the latest update, it plays about 30secs of a programme before closing the app down completely & returning me to the phone's home screen. Never had a problem up till now but it's driving me crazy!",LRose1289,2,9.17.0,
Netflix,2017-05-03,VPN,"I think it's disgusting that you will not allow those of us who use VPN's for privacy reasons. It violates our privacy to turn it off and you have no right to dictate how I use my phone to access your app. I use a VPN because of known hackers in my area and when I watch Netflix I am vulnerable.",Originalkit,1,9.17.0,
Netflix,2017-05-03,Crashing,"It keeps crashing I have to constantly reinstall the app.","Awesome app for a free one!",2,9.17.0,
Netflix,2017-05-03,Nooo,"I'm so  annoyed after the update can't watch anything all ready missed a series on pretty little liars helppppp pleasseeee","Mezzy 1134",1,9.17.0,
Netflix,2017-05-03,"Bring back star ratings","This was a very useful feature and it's been removed.",Sarsaparilla_Kid,1,9.17.0,
Netflix,2017-05-02,"Perfect until last update","I've been using the Netflix app for over a year now and never had a single problem until the latest update. I can't even log in! The password isn't ""incorrect"", it works on a laptop but no longer on the app. Please fix it!",ACM126,1,9.17.0,
Netflix,2017-05-02,"Why ?","Why are there constant bug fix updates EVERY WEEK, get it right for goodness sake",Keithgillyon,1,9.17.0,
Netflix,2017-05-02,"Always worked great for me","Not sure why this app has negative responses - it has worked great for me! Never had a problem.",Gregriches5,5,9.17.0,
Netflix,2017-05-02,"Won't even load","After the least update to 'fix' bugs it won't even come on I would give 5 starts but I just can't cause I can't even get in. FIX IT!!",LyricJasper,1,9.17.0,
Netflix,2017-05-02,"Star system","Please bring back the star ratings is what set you apart from things like now tv. People will rate shows honestly this made it a very good indicator for how good a show was. Please bring it back","please bring back the stars",1,9.17.0,
Netflix,2017-05-01,Netflix,"Can you add the 3rd series of Gotham",becbecware,5,9.17.0,
Netflix,2017-05-01,"Movies ain't playing btw on current up date",Ye,"A big fan of your game",5,9.17.0,
Netflix,2017-05-01,"Where is Adventure Time?","So basically Netflix used to be lit, I could watch Gotham, How I Met Your Mother, Adventure Time etc. However I've recently realised that Adventure Time has been taken off thus making it impossible for me to watch as I do not have Cartoon Network or want to watch it on YouTube. Bring back Adventure Time.",Lizzie.liz,2,9.16.0,
Netflix,2017-04-30,Review,"The app is really good but it would be good if there was supernatural on it x",Cjhewitt2004,4,9.16.0,
Netflix,2017-04-29,"Dr who season 7 only up to episode 6 available?","Other episodes and other seasons there just cut dead at episode 6 series 7?  Fed up of netflix ruining series like this removing them half way through watching. You out the price up last year with no reason and no extra content think I'll head over to amazon prime for a while now along with half your customer base",Freelander,1,9.16.0,
Netflix,2017-04-29,Crashing,"NONE OF THE VIDEOS PLAY AND KEEPS COMING
UP WITH AN ERROR.... ITS VERY ANNOYING AND I CANT WATCH ANYTHING",Hahahahaha5262,1,9.16.0,
Netflix,2017-04-29,Awful,"Was working perfectly fine until latest update and now won't work on my iPad mini 2, absolutely ridiculous",Chicky2010,1,9.16.0,
Netflix,2017-04-29,"Poor iPad experience","The only way I could change user after my daughter had been using Netflix on the iPad was to delete the app and reload it! Poor user experience!",Jnzy7,3,9.16.0,
